base_original;distrito;Provincia;seccion_electoral;MUNICIPIO_mapa;eleccion;Partido;Tipo_Voto;votos;Tipo_elección
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;En Blanco;En Blanco;5168;Diputados Provinciales
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;Nulo;Nulo;1702;Diputados Provinciales
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;Potencia;Positivo;4768;Diputados Provinciales
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;Frente de Izquierda;Positivo;14537;Diputados Provinciales
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;Fuerza Patria;Positivo;92356;Diputados Provinciales
AVELLANEDA;AVELLANEDA;Provincia de Buenos Aires;Tercera;Avellaneda;2025;Somos;Positivo;8293;Diputados Provinciales
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;Somos;Positivo;814;Senadores Provinciales
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;Nulo;Nulo;197;Senadores Provinciales
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;En Blanco;En Blanco;1086;Senadores Provinciales
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;Fuerza Patria;Positivo;3907;Senadores Provinciales
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;La Libertad Avanza;Positivo;6527;Senadores Provinciales
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;Frente de Izquierda;Positivo;358;Senadores Provinciales
AYACUCHO;AYACUCHO;Provincia de Buenos Aires;Quinta;Ayacucho;2025;Potencia;Positivo;0;Senadores Provinciales
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;Somos;Positivo;1388;Senadores Provinciales
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;La Libertad Avanza;Positivo;21497;Senadores Provinciales
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;En Blanco;En Blanco;5231;Senadores Provinciales
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;Nulo;Nulo;763;Senadores Provinciales
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;Otras fuerzas;Positivo;0;Senadores Provinciales
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;Fuerza Patria;Positivo;10650;Senadores Provinciales
AZUL;AZUL;Provincia de Buenos Aires;Septima;Azul;2025;Frente de Izquierda;Positivo;1782;Senadores Provinciales
BAHIA BLANCA;BAHIA BLANCA;Provincia de Buenos Aires;Sexta;Bahía Blanca;2025;Somos;Positivo;6369;Diputados Provinciales
BAHIA BLANCA;BAHIA BLANCA;Provincia de Buenos Aires;Sexta;Bahía Blanca;2025;Otras fuerzas;Positivo;0;Diputados Provinciales
BAHIA BLANCA;BAHIA BLANCA;Provincia de Buenos Aires;Sexta;Bahía Blanca;2025;La Libertad Avanza;Positivo;103831;Diputados Provinciales
BAHIA BLANCA;BAHIA BLANCA;Provincia de Buenos Aires;Sexta;Bahía Blanca;2025;Fuerza Patria;Positivo;40930;Diputados Provinciales
BAHIA BLANCA;BAHIA BLANCA;Provincia de Buenos Aires;Sexta;Bahía Blanca;2025;En Blanco;En Blanco;15584;Diputados Provinciales
BAHIA BLANCA;BAHIA BLANCA;Provincia de Buenos Aires;Sexta;Bahía Blanca;2025;Nulo;Nulo;2882;Diputados Provinciales
BAHIA BLANCA;BAHIA BLANCA;Provincia de Buenos Aires;Sexta;Bahía Blanca;2025;Frente de Izquierda;Positivo;12850;Diputados Provinciales
BAHIA BLANCA;BAHIA BLANCA;Provincia de Buenos Aires;Sexta;Bahía Blanca;2025;Potencia;Positivo;0;Diputados Provinciales
BALCARCE;BALCARCE;Provincia de Buenos Aires;Quinta;Balcarce;2025;La Libertad Avanza;Positivo;17410;Senadores Provinciales
BALCARCE;BALCARCE;Provincia de Buenos Aires;Quinta;Balcarce;2025;Somos;Positivo;1716;Senadores Provinciales
BALCARCE;BALCARCE;Provincia de Buenos Aires;Quinta;Balcarce;2025;Potencia;Positivo;0;Senadores Provinciales
BALCARCE;BALCARCE;Provincia de Buenos Aires;Quinta;Balcarce;2025;Fuerza Patria;Positivo;6248;Senadores Provinciales
BALCARCE;BALCARCE;Provincia de Buenos Aires;Quinta;Balcarce;2025;Nulo;Nulo;310;Senadores Provinciales
BALCARCE;BALCARCE;Provincia de Buenos Aires;Quinta;Balcarce;2025;En Blanco;En Blanco;2315;Senadores Provinciales
BALCARCE;BALCARCE;Provincia de Buenos Aires;Quinta;Balcarce;2025;Frente de Izquierda;Positivo;933;Senadores Provinciales
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;La Libertad Avanza;Positivo;8599;Diputados Provinciales
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;Fuerza Patria;Positivo;8553;Diputados Provinciales
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;En Blanco;En Blanco;1756;Diputados Provinciales
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;Otras fuerzas;Positivo;1102;Diputados Provinciales
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;Potencia;Positivo;1488;Diputados Provinciales
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;Nulo;Nulo;348;Diputados Provinciales
BARADERO;BARADERO;Provincia de Buenos Aires;Segunda;Baradero;2025;Frente de Izquierda;Positivo;794;Diputados Provinciales
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;La Libertad Avanza;Positivo;5718;Diputados Provinciales
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;Fuerza Patria;Positivo;4916;Diputados Provinciales
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;Nulo;Nulo;172;Diputados Provinciales
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;Frente de Izquierda;Positivo;435;Diputados Provinciales
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;En Blanco;En Blanco;736;Diputados Provinciales
BENITO JUAREZ;BENITO JUAREZ;Provincia de Buenos Aires;Sexta;Benito Juárez;2025;Somos;Positivo;959;Diputados Provinciales
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;Potencia;Positivo;7884;Diputados Provinciales
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;Frente de Izquierda;Positivo;15228;Diputados Provinciales
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;Fuerza Patria;Positivo;87783;Diputados Provinciales
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;Nulo;Nulo;1787;Diputados Provinciales
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;La Libertad Avanza;Positivo;76290;Diputados Provinciales
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;En Blanco;En Blanco;5628;Diputados Provinciales
BERAZATEGUI;BERAZATEGUI;Provincia de Buenos Aires;Tercera;Berazategui;2025;Somos;Positivo;8882;Diputados Provinciales
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;Potencia;Positivo;1579;Diputados Provinciales
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;En Blanco;En Blanco;1735;Diputados Provinciales
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;La Libertad Avanza;Positivo;24532;Diputados Provinciales
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;Frente de Izquierda;Positivo;5195;Diputados Provinciales
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;Somos;Positivo;3421;Diputados Provinciales
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;Nulo;Nulo;519;Diputados Provinciales
BERISSO;BERISSO;Provincia de Buenos Aires;Tercera;Berisso;2025;Fuerza Patria;Positivo;25026;Diputados Provinciales
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;La Libertad Avanza;Positivo;11129;Senadores Provinciales
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;En Blanco;En Blanco;1272;Senadores Provinciales
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Potencia;Positivo;0;Senadores Provinciales
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Fuerza Patria;Positivo;8910;Senadores Provinciales
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Otras fuerzas;Positivo;0;Senadores Provinciales
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Somos;Positivo;342;Senadores Provinciales
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Frente de Izquierda;Positivo;1312;Senadores Provinciales
BOLIVAR;BOLIVAR;Provincia de Buenos Aires;Septima;Bolívar;2025;Nulo;Nulo;269;Senadores Provinciales
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;Somos;Positivo;1226;Senadores Provinciales
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;Nulo;Nulo;422;Senadores Provinciales
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;La Libertad Avanza;Positivo;13401;Senadores Provinciales
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;Frente de Izquierda;Positivo;741;Senadores Provinciales
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;Fuerza Patria;Positivo;8290;Senadores Provinciales
BRAGADO;BRAGADO;Provincia de Buenos Aires;Cuarta;Bragado;2025;Otras fuerzas;Positivo;0;Senadores Provinciales
